clube_id,nome,abreviacao,slug,apelido,nome_fantasia
2305,MIR,MIR,mirassol,Mirassol,Mirassol
262,FLA,FLA,flamengo,Mengão,Flamengo
263,BOT,BOT,botafogo,Glorioso,Botafogo
264,COR,COR,corinthians,Timão,Corinthians
265,BAH,BAH,bahia,Tricolor de Aço,Bahia
266,FLU,FLU,fluminense,Tricolor,Fluminense
267,VAS,VAS,vasco,Gigante da Colina,Vasco
275,PAL,PAL,palmeiras,Verdão,Palmeiras
276,SAO,SAO,sao-paulo,Tricolor,São Paulo
277,SAN,SAN,santos,Peixe,Santos
280,RBB,RBB,bragantino,Massa Bruta,Bragantino
282,CAM,CAM,atletico-mg,Galo,Atlético-MG
283,CRU,CRU,cruzeiro,Raposa,Cruzeiro
284,GRE,GRE,gremio,Imortal,Grêmio
285,INT,INT,internacional,Colorado,Internacional
287,VIT,VIT,vitoria,Vitória,Vitória
293,CAP,CAP,atletico-pr,Furacão,Athlético-PR
294,CFC,CFC,coritiba,Coxa,Coritiba
315,CHA,CHA,chapecoense,Verdão do Oeste,Chapecoense
364,REM,REM,remo,Remo,Remo
